ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
650,Technologies for Social Justice: Lessons from Sex Workers on the Front Lines, Angelika Strohmayer (Newcastle University), Jenn Clamen (Stella, l'amie de Maimie), Mary Laing (Northumbria University),,,,,,,,,,
651,Career Mentoring in Online Communities: Seeking and Receiving Advice from an Online Community, Maria Tomprou, Laura Dabbish, Robert E. Kraut, Fannie Liu (Carnegie Mellon University),,,,,,,,,,
652,Cognitive Aids in Acute Care: Investigating How Cognitive Aids Affect and Support In-hospital Emergency Teams, Tobias Grundgeiger, Stephan Huber, Daniel Reinhardt (Julius-Maximilians-University), Andreas Steinisch, Oliver Happel, Thomas Wurmb (University Hospital of Wurzburg),,,,,,,,
653,Facilitating Self-reflection about Values and Self-care Among Individuals with Chronic Conditions, Catherine Y. Lim (Kaiser Permanente Washington Health Research Institute), Andrew B.L. Berry, Andrea L. Hartzler (University of Washington), Tad Hirsch (Northeastern University), David S. Carrell, Zoe A. Bermet, James D. Ralston (Kaiser Permanente Washington Health Research Institute),,,,,,,
654,Pyrus: Designing A Collaborative Programming Game to Promote Problem Solving Behaviors, Joshua Shi, Armaan Shah, Garrett Hedman, Eleanor O'Rourke (Northwestern University),,,,,,,,,,
655,Inalienability: Understanding Digital Gifts, Jocelyn Spence (University of Nottingham),,,,,,,,,,,,,
656,As Light as You Aspire to Be: Changing Body Perception with Sound to Support Physical Activity, Ana Tajadura-Jimenez (Universidad Carlos III de Madrid), Joseph Newbold, Linge Zhang (University College London), Patricia Rick (Universidad Loyola Andalucia), Nadia Bianchi-Berthouze (University College London),,,,,,,,,
657,Who Would You Like to Work With?: Use of Individual Characteristics and Social Networks in Team Formation Systems, Diego Gomez-Zara (Pontificia Universidad Catolica de Chile), Matthew Paras, Marlon Twyman (Northwestern University), Jacqueline N. Lane (Harvard Business School), Leslie A. DeChurch, Noshir S. Contractor (Northwestern University),,,,,,,,
658,ModiFiber: Two-Way Morphing Soft Thread Actuators for Tangible Interaction, Jack Forman, Taylor Tabb, Youngwook Do, Meng-Han Yeh, Adrian Galvin, Lining Yao (Carnegie Mellon University),,,,,,,,
659,Breakdowns in Home-School Collaboration for Behavioral Intervention, Gabriela Marcu, Allison Spiller (University of Michigan), Jonathan Arevalo Garay, James E. Connell (Drexel University), Laura R. Pina (University of Washington),,,,,,,,,
660,VizNet: Towards A Large-Scale Visualization Learning and Benchmarking Repository, Kevin Hu, Snehalkumar 'Neil' S. Gaikwad, Madelon Hulsebos, Michiel A. Bakker, Emanuel Zgraggen, CesarHidalgo, Tim Kraska (Massachusetts Institute of Technology), Guoliang Li (Tsinghua University), Arvind Satyanarayan, cagatay Demiralp (Massachusetts Institute of Technology),,,,
661,Shape Structuralizer: Design Fabrication and User-driven Iterative Refinement of 3D Mesh Models, Subramanian Chidambaram (Purdue University), Yunbo Zhang (Rochester Institute of Technology), Venkatraghavan Sundararajan (Purdue University), Niklas Elmqvist (University of Maryland College Park), Karthik Ramani (Purdue University),,,,,,,,,
662,Designing Participatory Sensing with Remote Communities to Conserve Endangered Species, Tshering Dema, Margot Brereton, Paul Roe (Queensland University of Technology),,,,,,,,,,,
663,Tricky to get your head around: Information Work of People Managing Chronic Kidney Disease in the UK, Eleanor R. Burgess, Madhu C. Reddy (Northwestern University), Andrew Davenport (Royal Free Hospital), Paul Laboi (York Teaching Hospital NHS Foundation Trust), Ann Blandford (University College London),,,,,,,,,
664,Long-Term Value of Social Robots through the Eyes of Expert Users, Dmitry Dereshev, David Kirk (Northumbria University), Kohei Matsumura (Ritsumeikan University), Toshiyuki Maeda (Hannan University),,,,,,,,,,
665,Measuring and Understanding Photo Sharing Experiences in Social Virtual Reality, Jie Li, Yiping Kong, Thomas Roggla, Francesca De Simone (Centrum Wiskunde & Informatica), Swamy Ananthanarayan (University of Oldenburg), Huib de Ridder (Delft University of Technology), Abdallah El Ali (Centrum Wiskunde & Informatica), Pablo Cesar (Centrum Wiskunde & Informatica),,,,,,
666,Email Makes You Sweat: Examining Email Interruptions and Stress Using Thermal Imaging, Fatema Akbar, Ayse Elvan Bayraktaroglu (University of California Irvine), Pradeep Buddharaju (University of Houston), Dennis Rodrigo Da Cunha Silva (Texas AM University), Ge Gao, Ted Grover (University of California Irvine), Ricardo Gutierrez-Osuna (Texas AM University), Nathan Cooper Jones (University of Houston), Gloria Mark (University of California Irvine), Ioannis Pavlidis (University of Houston), Kevin Storer (University of California Irvine), Zelun Wang (Texas AM University), Amanveer Wesley, Shaila Zaman (University of Houston)
667,Measuring the Separability of Shape Size and Color in Scatterplots, Stephen Smart, Danielle Albers Szafir (University of Colorado Boulder),,,,,,,,,,,,
668,Beyond Behavior: The Coach's Perspective on Technology in Health Coaching, Heleen Rutjes, Martijn C. Willemsen, Wijnand A. IJsselsteijn (Eindhoven University of Technology),,,,,,,,,,,
669,Privacy Anonymity and Perceived Risk in Open Collaboration: A Study of Service Providers, Nora McDonald (Drexel University), Benjamin Mako Hill (University of Washington), Rachel Greenstadt (New York University), Andrea Forte (Drexel University),,,,,,,,,,
670,Aarnio: Passive Kinesthetic Force Output for Foreground Interactions on an Interactive Chair, Shan-Yuan Teng (National Taiwan University), Da-Yuan Huang, Chi Wang (National Chiao Tung University), Jun Gong (Dartmouth College), Teddy Seyed (University of Calgary), Xing-Dong Yang (Dartmouth College), Bing-Yu Chen (National Taiwan University),,,,,,,
671,Does It Feel Real? Using Tangibles with Different Fidelities to Build and Explore Scenes in Virtual Reality, Thomas Muender, Anke V. Reinschluessel, Sean Drewes, Dirk Wenig, Tanja Doring, Rainer Malaka (University of Bremen),,,,,,,,
672,How Do Humans Assess the Credibility on Web Blogs: Qualifying and Verifying Human Factors with Machine Learning, Yonggeol Jo, Minwoo Kim, Kyungsik Han (Ajou University),,,,,,,,,,,
673,Adding Proprioceptive Feedback to Virtual Reality Experiences Using Galvanic Vestibular Stimulation, Misha Sra, Abhinandan Jain, Pattie Maes (Massachusetts Institute of Technology),,,,,,,,,,,
674,VibEye: Vibration-Mediated Object Recognition for Tangible Interactive Applications, Seungjae Oh, Gyeore Yun, Chaeyong Park, Jinsoo Kim, Seungmoon Choi, (Pohang University of Science and Technology),,,,,,,,
675,Sound Forest: Evaluation of an Accessible Multisensory Music Installation, Emma Frid (KTH Royal Institute of Technology), Hans Lindetorp (KTH Royal Institute of Technology), Kjetil Falkenberg Hansen, Ludvig Elblaus, Roberto Bresin (KTH Royal Institute of Technology),,,,,,,,,
676,Making Sense of Human-Food Interaction, Ferran Altarriba Bertran, Samvid Jhaveri, Rosa Lutz, Katherine Isbister (University of California Santa Cruz), Danielle Wilde (University of Southern Denmark),,,,,,,,,
677,Designing for Digital Playing Out, Gavin Wood, Thomas Dylan, Abigail Durrant (Northumbria University), Pablo E. Torres (University College London), Philip Ulrich, Amanda Carr (Canterbury Christ Church University), Mutlu Cukurova (UCL Institute of Education), Denise Downey, Phil McGrath (The Cedarwood Trust), Madeline Balaam (Royal Institute of Technology), Alice Ferguson (Playing Out CIC), John Vines, Shaun Lawson (Northumbria University),
678,Life-Affirming Biosensing in Public: Sounding Heartbeats on a Red Bench, Noura Howell, Greg Niemeyer, Kimiko Ryokai (University of California Berkeley),,,,,,,,,,,
679,ATMSeer: Increasing Transparency and Controllability in Automated Machine Learning, Qianwen Wang, Yao Ming (Hong Kong University of Science and Technology), Zhihua Jin (Zhejiang University), Qiaomu Shen, Dongyu Liu (Hong Kong University of Science and Technology), Micah J. Smith, Kalyan Veeramachaneni (Massachusetts Institute of Technology), Huamin Qu (Hong Kong University of Science and Technology),,,,,,
680,A Bayesian Cognition Approach to Improve Data Visualization, Yea-Seul Kim, Logan A. Walls, Peter Kraff, Jessica Hullman (Northwestern University),,,,,,,,,,
681,PersonalTouch: Improving Touchscreen Usability by Personalizing Accessibility Settings based on Individual User's Touchscreen Interaction, Yi-Hao Peng, Muh-Tarng Lin, Yi Chen, TzuChuan Chen, Pin Sung Ku (National Taiwan University), Paul Taele (Texas AM University), Chin Guan Lim, Mike Y. Chen (National Taiwan University),,,,,,
682,The Parenting Actor-Network of Latino Immigrants in the United States, Marisol Wong-Villacres (Escuela Superior Politecnica del Litoral & Georgia Institute of Technology), Neha Kumar, Betsy DiSalvo (Georgia Institute of Technology),,,,,,,,,,,
683,Geollery: A Mixed Reality Social Media Platform, Ruofei Du, David Li, Amitabh Varshney (University of Maryland College Park),,,,,,,,,,,
684,Passquerade: Improving Error Correction of Text Passwords on Mobile Devices by using Graphic Filters for Password Masking, Mohamed Khamis (University of Glasgow & Ludwig Maximilian University of Munich), Tobias Seitz, Leonhard Mertl, Alice Nguyen, Mario Schneller, Zhe Li (Ludwig Maximilian University of Munich),,,,,,,,
685,HoloDoc: Enabling Mixed Reality Workspaces that Harness Physical and Digital Content, Zhen Li (University of Toronto), Michelle Annett (MishMashMakers), Ken Hinckley (Microsoft Research), Karan Singh, Daniel Wigdor (University of Toronto),,,,,,,,,
686,SwarmHaptics: Haptic Display with Swarm Robots, Lawrence H. Kim, Sean Follmer (Stanford University),,,,,,,,,,,,
687,Estimating Touch Force with Barometric Pressure Sensors, Philip Quinn (Google),,,,,,,,,,,,,
688,A Badge Not a Barrier: Designing for–and Throughout–Digital Badge Implementation, Caroline Pitt, Adam Bel, Edgar Onofre, Katie Davis (University of Washington),,,,,,,,,,
689,Virtual Objects in the Physical World: Relatedness and Psychological Ownership in Augmented Reality, Lev Poretski, Ofer Arazy, Joel Lanir, Shalev Shahar (University of Haifa), Oded Nov (New York University),,,,,,,,,
690,Signal Appropriation of Explicit HIV Status Disclosure Fields in Sex-Social Apps used by Gay and Bisexual Men, Mark Warner (University College London), Juan F. Maestre (Indiana University), Jo Gibbs (University College London), Chia-Fang Chung (Indiana University), Ann Blandford (University College London),,,,,,,,,
691,HapTwist: Creating Interactive Haptic Proxies in Virtual Reality Using Low-cost Twistable Artefacts, Kening Zhu, Taizhou Chen (City University of Hong Kong), Feng Han (Hong Kong University of Science and Technology), Yi-Shiun Wu (ecole Polytechnique Federale de Lausanne),,,,,,,,,,
692,Falcon: Balancing Interactive Latency and Resolution Sensitivity for Scalable Linked Visualizations, Dominik Moritz, Bill Howe, Jeffrey Heer (University of Washington),,,,,,,,,,,
693,When the Elephant Trumps: A Comparative Study on Spatial Audio for Orientation in 360º Videos, Paulo Bala, Raul Masu, Valentina Nisi, Nuno Nunes, (Madeira Interactive Technologies Institute & University of Lisbon),,,,,,,,,
694,Egocentric Smaller-person Experience through a Change in Visual Perspective, Jun Nishida (University of Chicago), Soichiro Matsuda, Mika Oki, Hikaru Takatori, Kosuke Sato (University of Tsukuba), Kenji Suzuki (University of Tsukuba),,,,,,,,
695,LocknType: Lockout Task Intervention for Discouraging Smartphone App Use, Jaejeung Kim, Joonyoung Park, Hyunsoo Lee (Korea Advanced Institute of Science and Technology), Minsam Ko (Hanyang University), Uichin Lee (Korea Advanced Institute of Science and Technology),,,,,,,,,
696,Effect of Orientation on Unistroke Touch Gestures, Sven Mayer, Valentin Schwind, Huy Viet Le, Dominik Webe, Jonas Vogelsang, Johannes Wolf, Niels Henze (University of Regensburg),,,,,,,
697,LASEC: Instant Fabrication of Stretchable Circuits Using a Laser Cutter, Daniel Groeger, Jurgen Steimle (Saarland University),,,,,,,,,,,,
698,Sensory Alignment in Immersive Entertainment, Joe Marshall, Steve Benford (University of Nottingham), Richard Byrne (RMIT University), Paul Tennent (University of Nottingham),,,,,,,,,,
699,How to Design Voice Based Navigation for How-To Videos, Minsuk Chang (Korea Advanced Institute of Science and Technology), Anh Truong, Oliver Wang (Adobe Research), Maneesh Agrawala (Stanford University), Juho Kim (Korea Advanced Institute of Science and Technology),,,,,,,,,
700,Caring for Vincent: A Chatbot for Self-Compassion, Minha Lee, Sander Ackermans, Nena van As, Hanwen Chang, Enzo Lucas, Wijnand IJsselsteijn, (Technical University of Eindhoven),,,,,,,
701,A Wee Bit More Interaction: Designing and Evaluating an Overactive Bladder App, Ana-Maria Sala, Lynne Baillie (Heriot-Watt University),,,,,,,,,,,,
702,HandSee: Enabling Full Hand Interaction on Smartphone with Front Camera-based Stereo Vision, Chun Yu (Tsinghua University), Xiaoying Wei, Shubh Vachher, Yue Qin, Chen Liang, Yueting Weng, Yizheng Gu (Tsinghua University), Yuanchun Shi (Tsinghua University),,,,,,
